浙江医科大学,学校
复旦大学附属华山医院,机构
高等教育出版社,机构
民警,机构
突泉县公安局育文派出所,机构
上海医科大学,学校
武汉大学,学校
武汉市中心医院,机构
武汉市金银潭医院,机构
北京医学院,学校
山东省东明县看守所所长,机构
广东桥头派出所,机构
乌恰县公安局阿克检查站,机构
湖南衡山县东湖镇马迹卫生院药剂组,机构
安徽省枞阳县公安局特（巡）警大队,机构
山东省东明县看守所,机构
齐鲁交通发展集团有限公司淄博分公司收费管理部,机构
武汉亚心总医院,机构
福建省南平市浦城县仙阳镇中心卫生院,机构
上海科技出版社,机构
科学出版社,机构
牛津大学,学校
中国科学院,机构
中国疾病预防控制中心,机构
安徽淮南大通区城管局大通街道中队,机构
河南省汝州市公安局,机构
山东临沂市公安局,机构
四川眉山天府新区高家镇英头村,机构
湖北安陆水寨村,机构
松原市长岭县七号镇,机构
江西省赣州市大余县疾病预防控制中心,机构
山东省泰安市公安局泰山分局中队,机构
湖北省新华医院,机构
湖北石首小河口镇中洲村,机构
太湖县前进村,机构
长江航运公安局宜昌分局治安管理支队,机构
湖南省卫生计生综合监督局,机构
东明县公安局看守所,机构
江苏徐州沛县五段派出所,机构
江苏援黄石医疗支援队,救援队
南京医科大学,机构
南京医科大学附属逸夫医院,机构
江苏省卫健委,机构
江苏省肿瘤医院,机构
东南大学附属中大医院,机构
南京市儿童医院,机构
江苏省中医院,机构
第七批江苏援湖北医疗队,救援队
江苏省人民医院,机构
南京鼓楼医院,机构
徐州贾汪区人民医院,机构
重庆医疗队,救援队
重庆市急救医疗中心肿瘤科,机构
重庆医科大学附属第一医院,机构
西安国际医学中心医院,机构
西安国际医学中心医院援鄂医疗队,救援队
甘肃省第二人民医院,机构
甘肃省第二批援鄂护理专业医疗队,救援队
浙江大学医学院附属邵逸夫医院,机构
浙江省对口支援湖北省荆门市首批医疗队,救援队
浙江省德清县人民医院,机构
山西白求恩医院,机构
山西省第三批驰援湖北医疗队,救援队
山西省第二批医疗队,救援队
国家卫健委,机构
天津医科大学总医院,机构
天津医疗队,救援队
大连医科大学附属第一医院,机构
辽宁医疗队,救援队
北京大学国际医院,机构
北京大学国际医院支援湖北抗疫国家医疗队,救援队
南方医科大学南方医院,机构
广东首批支援湖北荆州应对新冠肺炎医疗队,救援队
江西援助武汉医疗护理队,救援队
福州儿童医院,机构
福建省援助湖北护理专业医疗队,救援队
江苏第三批医疗队,救援队
上海市奉贤区中心医院,机构
广州呼吸疾病研究所,机构
上海医疗队,救援队
广医附属第一医院,机构
广州医学院,机构
广医支援市八医院医疗队,救援队
广医支援武汉医疗队,救援队
广医附属第二医院,机构
广医附属第三医院,机构
广医附属第五医院,机构
中国工程院,机构
广医附属肿瘤医院,机构
广医,救援队
树兰（杭州）医院紧急医疗队,救援队
树兰（杭州）医院,机构
武汉金银潭医院,机构
湖北省中西医结合医院,机构
人名卫生出版社,机构
中国协和医科大学出版社,机构
红宝石公主号,游轮
钻石公主号,游轮
新疆生产建设兵团,机构
东软,公司
腾讯,企业
托普,企业
协和,大学
财政部,机构
党中央,机构
横滨港,港口
教育部,机构
救援队,机构
人事部,机构
天津港,港口
统战部,机构
新华社,机构
ACCA,机构
清华大学,大学
人民日报,机构
中共中央,机构
重庆市急救医疗中心,机构
南京市中医院,机构
江苏省中西医结合学会,机构
国务院,机构
疾控中心,机构
CDC,机构
人民卫生出版社,机构
四川信息职业技术学院,高等学校
四川信息职业技术学院,大学
